Names	dates	cities	reviews	ratings	stars
Izzy	Dined on May 4, 2024	Denver	We love Nobu! People are gracious and food is wonderful.	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on May 2, 2024	New York City	Cibo Tom in un ambiente fantastico. Servizi preciso	Overall 5 Food 5 Service 5 Ambience 5	5.0
craigk	Dined on May 1, 2024	New York City	Nobu really does make a difference, everything is so Fresh, Tasteful and always a great experience!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 28, 2024	Philadelphia	Need more options on menu for food and drink. Cool building. Service was great!	Overall 2 Food 3 Service 3 Ambience 4	5.0
MarvinP	Dined on April 27, 2024	New York City	The vibes was incredible and our waitress was out of this world very informative and helpful. I loved the whole experience.	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on April 27, 2024	Cleveland	Unique dinner experience.  Excellent service and menu selection.  Wait staff suggestions were superb.  Sushi was amazing.	Overall 5 Food 5 Service 5 Ambience 5	2.0
OpenTable Diner	Dined on April 26, 2024	Chicago	Food and drinks were great. The location of the table was at the very back by the kitchen, which we didn’t like.	Overall 4 Food 5 Service 5 Ambience 3	5.0
VickiB	Dined on April 24, 2024	New York City	Awesome food and ambiance. Great for special celebration! Will def go back!	Overall 5 Food 5 Service 5 Ambience 5	4.7
LauriN	Dined on April 24, 2024	Chicago	Great atmosphere and food!! Love the discrete location.	Overall 5 Food 5 Service 4 Ambience 5	5.0
OpenTable Diner	Dined on April 18, 2024	New York City	Great experience overall. The food was excellent.	Overall 5 Food 5 Service 4 Ambience 4	5.0
Mzles	Dined on April 17, 2024	Philadelphia	Great experience! Food was awesome, I had the bento box.	Overall 5 Food 5 Service 5 Ambience 4	3.0
OpenTable Diner	Dined on April 17, 2024	Seattle	Amazing food, great ambiance, superb service. We loved it.	Overall 5 Food 5 Service 5 Ambience 5	5.0
craigk	Dined on April 16, 2024	New York City	Hands down, the best/freshest sushi in town, with the impeccable service!	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on April 14, 2024	Orlando	This restaurant is so overrated and overpriced, was there with my wife , daughter and her friend. Very disappointed with everything. Will not return.	Overall 2 Food 2 Service 3 Ambience 2	5.0
TimothyW	Dined on April 14, 2024	New York City	The yellowtail and jalapeno is a favorite dish of ours. The waitress was awesome and the ambiance was perfect.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 14, 2024	Poconos	Another great meal and dining experience at downtown Nobu . It was our son’s birthday and they made him feel special.	Overall 5 Food 5 Service 5 Ambience 5	2.0
OpenTable Diner	Dined on April 12, 2024	Charleston	Wonderful! Our waiter could not have been more helpful and accommodating.	Overall 5 Food 5 Service 5 Ambience 5	4.7
veronica	Dined on April 12, 2024	New York City	Troppo rumoroso, da mal di testa! Cibo ottimo, servizio mediocre.	Overall 4 Food 4 Service 3 Ambience 4	4.7
OpenTable Diner	Dined on April 12, 2024	New York City	As always, the service was amazing, esp the gang welcoming our group at the  front door.	Overall 5 Food 5 Service 5 Ambience 5	4.0
DouglasT	Dined on April 8, 2024	New York City	Sushi and sashimi platters came so quickly seemed like they had to have been made in advance.   Good not great.	Overall 4 Food 4 Service 5 Ambience 5	4.0
ShearaG	Dined on April 8, 2024	Chicago	FABULOUS!!! Service exceptional, food amazing! Loved the ambiance as well. Highly recommended!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 7, 2024	New York City	The staff was very nice and the downstairs had a good ambiance	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 6, 2024	Munich	Completely ridiculous pricing. More expensive than in Japan, and higher than an Omakase restaurants.	Overall 1 Food 3 Service 2 Ambience 2	5.0
OpenTable Diner	Dined on April 6, 2024	Detroit	Wonderful place, service, and amazing food I’ll definitely be back it was one of the best meals I’ve ever had.	Overall 5 Food 5 Service 5 Ambience 5	5.0
SandraS	Dined on April 6, 2024	Las Vegas	Very noisy experience! Overrated in my opinion… Food was good, but did not meet our expectations.	Overall 3 Food 3 Service 3 Ambience 3	4.7
ParagT	Dined on April 6, 2024	Greater Boston	It was great.  Food and service is always great at Nobu	Overall 5 Food 5 Service 5 Ambience 5	4.7
MartinW	Dined on April 2, 2024	Bavaria	Not the best Nobu.. I was a little bit disappointed, because normally Nobu is always stunning!	Overall 3 Food 3 Service 4 Ambience 4	3.0
OpenTable Diner	Dined on April 1, 2024	Costa Rica	Nothing beats Nobu almost 20 years we’ve been going!	Overall 5 Food 5 Service 5 Ambience 5	5.0
pchak	Dined on March 31, 2024	Washington DC	Lived up to the hype! Best things we ate were the Yellow Tail, Black Cod with miso, and the Lobster Tempura!	Overall 5 Food 5 Service 5 Ambience 5	3.0
TaiA	Dined on March 30, 2024	New York City	Overall great experience. Hard to find, lovely! Delicious.	Overall 5 Food 4 Service 5 Ambience 4	1.0
NatalieE	Dined on March 29, 2024	New York City	Always great fresh food. Good service. Nice vibe. Love it	Overall 5 Food 5 Service 5 Ambience 5	5.0
SusieQs	Dined on March 27, 2024	New York City	Wonderful and consistent experience every time! The staff is incredible, the food is divine! Thank you for another fantastic meal!	Overall 5 Food 5 Service 5 Ambience 5	5.0
Kim89	Dined on March 22, 2024	Dublin	Extremely bad service, however the food was good. Pity about the service.	Overall 3 Food 4 Service 1 Ambience 4	4.7
GailS	Dined on March 12, 2024	Las Vegas	Amazing food! Worth every penny, the service is excellent.	Overall 5 Food 5 Service 5 Ambience 5	3.0
OpenTable Diner	Dined on March 10, 2024	New York City	Servier wasn’t giving his 100%. He didn’t care much	Overall 5 Food 5 Service 4 Ambience 5	5.0
TW22	Dined on March 2, 2024	New York City	Great food and service. Will definitely go back again.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on February 29, 2024	New York City	Terribly over priced for the quality terrible menu	Overall 2 Food 1 Service 5 Ambience 3	4.7
Aramise	Dined on February 27, 2024	New York City	Outstanding experience .Staff was amazing  Food was spectacular.Ambiance unmatched  Will be back soon	Overall 5 Food 4 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on February 25, 2024	New York City	Great place with great food.  Somewhat pricey, but it’s good	Overall 5 Food 5 Service 5 Ambience 5	2.0
OpenTable Diner	Dined on February 24, 2024	New York City	Best dinner I’ve ever had. Amazing experience and will recommend to everyone	Overall 5 Food 5 Service 5 Ambience 5	5.0
brianb	Dined on February 24, 2024	New York City	Amazing dishes. Expensive but it’s nobu so you know that going in	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on February 23, 2024	Caribbean	Nobu continues to be one of my favorites. The music can be a little lower upstairs.	Overall 5 Food 5 Service 4 Ambience 5	3.0
JoanS	Dined on February 23, 2024	New York City	Exquisitely prepared — perfect in every way. Beautiful space to boot. Will return.	Overall 5 Food 5 Service 5 Ambience 5	5.0
BrianA	Dined on February 21, 2024	New York City	Great meal and the service was top notch! It made a special day even better	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on February 21, 2024	Sacramento	Amazing experience. Delicious, fresh sushi. Excellent service.	Overall 5 Food 5 Service 5 Ambience 5	4.7
Meera	Dined on February 16, 2024	New York City	Table was 30 mins late to be ready. Food was coming in so slowly.	Overall 2 Food 2 Service 2 Ambience 3	3.0
OpenTable Diner	Dined on February 16, 2024	Key West	A great dinner/ elevated experience. From the food to the cocktails & staff was amazing.	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on February 15, 2024	Houston	It was a great time!! A little pricy, but an amazing experience!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on February 15, 2024	Pittsburgh	Omakase prix fixe menu was incredible and the waiter was very accommodating	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on February 15, 2024	New York City	For all the hype about this place unfortunately it an okay experience but nothing special. I thought the food was mediocre.  Very disappointing.	Overall 3 Food 3 Service 3 Ambience 2	5.0
Sally	Dined on February 14, 2024	San Francisco	There was a piece of plastic wrapper in my food in the crispy rice tuna.	Overall 3 Food 2 Service 5 Ambience 4	3.0
AnthonyG	Dined on February 10, 2024	New York City	It is all it is cracked up To be.  Fantastic food.  Fantastic	Overall 5 Food 5 Service 5 Ambience 5	3.0
AsiaG	Dined on February 10, 2024	New York City	Amazing experience and delicious food! Celebrated our son’s birthday and we couldn’t have been happier!	Overall 5 Food 5 Service 5 Ambience 4	4.7
KhAyriR	Dined on February 9, 2024	New York City	Everything is Greeeeaaaaat!! I’ll be back again and again and again	Overall 5 Food 5 Service 5 Ambience 5	4.7
